accx,accy,accz
0.0255,0.2312,1.0248
0.0197,0.2332,0.9916
0.0299,0.2298,1.0008
0.0592,0.2229,1.0409
0.0807,0.2136,1.0804
0.089,0.2014,1.1025
0.1105,0.1746,1.1489
0.1203,0.1648,1.1616
0.1188,0.1507,1.1835
0.114,0.156,1.183
0.1041,0.1507,1.1733
0.0905,0.1599,1.1674
0.0778,0.1707,1.166
0.0719,0.1716,1.162
0.0548,0.158,1.1537
0.0358,0.1687,1.1425
0.0216,0.1663,1.1371
0.0177,0.1702,1.1362
-0.0034,0.1795,1.1332
-0.0121,0.1887,1.1381
-0.0297,0.2029,1.1479
-0.038,0.2117,1.1508
-0.0488,0.2219,1.1679
-0.0497,0.2278,1.1699
-0.0537,0.2342,1.1747
-0.0541,0.2327,1.1772
-0.0507,0.2371,1.1811
-0.0439,0.2406,1.1791
-0.0302,0.2346,1.1821
-0.0268,0.2346,1.1752
-0.0131,0.2317,1.1772
-0.0073,0.2219,1.1743
-0.0019,0.2151,1.1684
0.0099,0.1951,1.1752
0.0138,0.1887,1.1752
0.0192,0.178,1.1708
0.0319,0.157,1.1835
0.0382,0.138,1.1899
0.0402,0.1301,1.1884
0.0392,0.1184,1.186
0.0407,0.1086,1.1869
0.0377,0.09,1.184
0.0382,0.0822,1.1806
0.0294,0.0739,1.1801
0.0216,0.071,1.1826
0.0167,0.0739,1.1884
-0.0019,0.0773,1.1904
-0.0244,0.0905,1.1938
-0.0722,0.1193,1.2056
-0.0874,0.112,1.2134
-0.102,0.1037,1.2148
-0.1338,0.0978,1.2197
-0.1392,0.0905,1.2236
-0.1353,0.0559,1.2163
-0.1299,0.05,1.209
-0.1118,0.0461,1.1923
-0.103,0.0495,1.1835
-0.0854,0.051,1.1611
-0.0737,0.0593,1.1498
-0.0581,0.0588,1.1357
-0.0517,0.0602,1.1284
-0.0414,0.0715,1.1127
-0.0336,0.0744,1.0991
-0.0317,0.0769,1.0785
-0.0322,0.0783,1.0741
-0.0302,0.0798,1.0541
-0.0351,0.0764,1.0438
-0.0288,0.0778,1.0209
-0.0253,0.0793,1.0023
-0.0224,0.0783,0.9793
-0.018,0.0817,0.9734
-0.0229,0.0871,0.9578
-0.0219,0.0876,0.9563
-0.0204,0.0949,0.9485
-0.0244,0.0935,0.9451
-0.0288,0.0959,0.9432
-0.0322,0.0939,0.9412
-0.0375,0.0935,0.9392
-0.0483,0.0925,0.9344
-0.0507,0.0895,0.9344
-0.0532,0.0866,0.9344
-0.0571,0.0866,0.9358
-0.0527,0.0852,0.9407
-0.0502,0.0837,0.9392
-0.0483,0.0812,0.9495
-0.0444,0.0769,0.9524
-0.04,0.0734,0.9602
-0.0395,0.0744,0.9632
-0.038,0.0783,0.9798
-0.039,0.0744,0.9793
-0.0424,0.0749,0.9906
-0.0434,0.0744,0.9901
-0.0419,0.0749,0.993
-0.0424,0.0744,0.993
-0.0454,0.0769,0.9852
-0.0483,0.0788,0.9759
-0.0449,0.0808,0.9725
-0.041,0.0881,0.9519
-0.0444,0.0895,0.9446
-0.0327,0.1027,0.9309
-0.0317,0.1047,0.9309
-0.0268,0.1032,0.9212
-0.0229,0.1101,0.9139
-0.0165,0.1159,0.9085
-0.0165,0.1154,0.906
-0.0151,0.114,0.9085
-0.0126,0.1188,0.908
-0.0082,0.1125,0.9055
