accx,accy,accz
0.0011,0.2518,0.9852
-0.0024,0.2606,0.9798
-0.0058,0.2708,0.9725
-0.0082,0.2728,0.9671
-0.0038,0.2767,0.9627
-0.0073,0.2826,0.9602
-0.0092,0.2855,0.9573
-0.0029,0.2938,0.9568
-0.0112,0.3026,0.9529
-0.0073,0.3045,0.95
-0.0121,0.3089,0.9461
-0.0151,0.3128,0.9427
-0.019,0.3123,0.9295
-0.0087,0.3036,0.9158
-0.0068,0.307,0.9182
-0.0019,0.2997,0.9192
0.0065,0.2987,0.9173
0.0099,0.2977,0.9104
0.0138,0.2928,0.9099
0.0284,0.2865,0.9109
0.027,0.285,0.9134
0.0353,0.285,0.9202
0.0382,0.284,0.9344
0.0411,0.286,0.9451
0.047,0.2884,0.9583
0.0421,0.2879,0.9641
0.0377,0.2933,0.9593
0.0314,0.2982,0.9612
0.0284,0.2987,0.9583
0.0299,0.2953,0.9588
0.0231,0.2972,0.9534
0.0197,0.2923,0.9578
0.0221,0.2933,0.9593
0.0197,0.2928,0.9632
0.0182,0.2894,0.9646
0.0167,0.2899,0.9637
0.0138,0.2909,0.9646
0.0138,0.2865,0.9651
0.0079,0.2884,0.9612
0.0006,0.2835,0.9676
-0.0004,0.2821,0.9681
0.0001,0.2826,0.9729
-0.0043,0.2811,0.97
-0.0043,0.2787,0.9685
0.0011,0.2826,0.9612
0.0016,0.2816,0.9578
0.0099,0.284,0.9529
0.0157,0.2899,0.9471
0.0157,0.2879,0.9471
0.0177,0.2874,0.9475
0.0221,0.2791,0.9485
0.0201,0.2787,0.9515
0.0241,0.2762,0.9573
0.0226,0.2762,0.9471
0.0221,0.2752,0.949
0.0216,0.2713,0.9456
0.0197,0.2713,0.9515
0.0177,0.2713,0.9554
0.0123,0.2723,0.9739
0.007,0.2791,0.9823
0.0055,0.2767,0.9881
0.0035,0.2767,0.9891
0.0045,0.2679,0.9906
0.005,0.2699,0.9925
0.0079,0.2616,0.9974
0.0089,0.2591,0.993
0.0118,0.2586,0.9989
0.0133,0.2479,0.996
0.0143,0.2415,1.0008
0.0167,0.2406,0.9999
0.0206,0.2401,1.0082
0.0182,0.2332,1.0077
0.0187,0.2307,1.0145
0.0231,0.2283,1.0165
0.0338,0.2298,1.0282
0.0397,0.2298,1.0301
0.047,0.2312,1.0379
0.049,0.2283,1.034
0.0387,0.2263,1.0277
0.0372,0.2254,1.0238
0.0299,0.2239,1.0145
0.027,0.2244,1.0086
0.0201,0.2224,1.0033
0.0162,0.2268,0.994
0.0192,0.2351,0.9916
0.0236,0.2376,0.9876
0.0226,0.2425,0.9739
0.027,0.2346,0.9519
0.0275,0.2401,0.9388
0.0226,0.244,0.9246
0.027,0.2371,0.9007
0.0289,0.2312,0.8997
0.0397,0.2205,0.8909
0.0377,0.2127,0.8919
0.0626,0.2053,0.9007
0.0983,0.2122,0.9324
0.114,0.2122,0.9495
